"","taxon","user_supplied_name","taxon_rank","kingdom","phylum","class","order","family","genus","species","superfamily","paper","subgenus","infraspecies"
"83","Cratilla","Cratilla","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Cratilla",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"84","Micromacromia","Micromacromia","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Micromacromia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"85","Pentathemis","Pentathemis","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Pentathemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"86","Aeschnosoma","Aeschnosoma","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Aeschnosoma",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"87","Trithetrum","Trithetrum","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Trithetrum",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"88","Cordulegaster","Cordulegaster","genus","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","Cordulegaster",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"89","Chlorogomphus","Chlorogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","Chlorogomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"90","Neopetalia","Neopetalia","genus","Animalia","Arthropoda","Insecta","Odonata","Neopetaliidae","Neopetalia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"91","Gomphaeschna","Gomphaeschna","genus","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Gomphaeschna",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"92","Oligoaeschna","Oligoaeschna","genus","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Oligoaeschna",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"93","Sarasaeschna","Sarasaeschna","genus","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Sarasaeschna",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"94","Linaeschna","Linaeschna","genus","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Linaeschna",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"95","Boyeria","Boyeria","genus","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Boyeria",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"96","Caliaeschna","Caliaeschna","genus","Animalia","Arthropoda","Insecta","Odonata","Aeshnidae","Caliaeschna",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"97","Cordulephya","Cordulephya","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Cordulephya",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"98","Epophthalmia","Epophthalmia","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Epophthalmia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"99","Armagomphus","Armagomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Armagomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"100","Trigomphus","Trigomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Trigomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"101","Fukienogomphus","Fukienogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Fukienogomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"102","Cyclogomphus","Cyclogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Cyclogomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"103","Neurogomphus","Neurogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Neurogomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"104","Gomphus","Gomphus Gomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Gomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"105","Gomphus","Gomphus","genus","Fungi","Basidiomycota","Agaricomycetes","Gomphales","Gomphaceae","Gomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"106","Asiagomphus","Asiagomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Asiagomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"107","Gomphus","Gomphus Phanogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Gomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"108","Dromogomphus","Dromogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Dromogomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"109","Gomphus","Gomphus Hylogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Gomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"110","Gomphus","Gomphus Gomphurus","genus","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Gomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"111","Tanypteryx","Tanypteryx spp","genus","Animalia","Arthropoda","Insecta","Odonata","Petaluridae","Tanypteryx",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"112","Phenes","Phenes","genus","Animalia","Arthropoda","Insecta","Odonata","Petaluridae","Phenes",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"113","Uropetala","Uropetala spp","genus","Animalia","Arthropoda","Insecta","Odonata","Petaluridae","Uropetala",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"114","Petalura","Petalura spp","genus","Animalia","Arthropoda","Insecta","Odonata","Petaluridae","Petalura",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"115","Anotogaster","Anotogaster","genus","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","Anotogaster",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"116","Sinorogomphus","Sinorogomphus","genus","Animalia","Arthropoda","Insecta","Odonata","Cordulegastridae","Sinorogomphus",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"117","Austrosynthemis","Austrosynthemis","genus","Animalia","Arthropoda","Insecta","Odonata","Synthemistidae","Austrosynthemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"118","Parasynthemis","Parasynthemis","genus","Animalia","Arthropoda","Insecta","Odonata","Synthemistidae","Parasynthemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"119","Tonyosynthemis","Tonyosynthemis","genus","Animalia","Arthropoda","Insecta","Odonata","Synthemistidae","Tonyosynthemis",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"120","Idionyx","Idionyx","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Idionyx",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"121","Neocordulia","Neocordulia","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Neocordulia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"122","Nesocordulia","Nesocordulia","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Nesocordulia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"123","Neophya","Neophya","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Neophya",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"124","Libellulosoma","Libellulosoma","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Libellulosoma",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"125","Phyllomacromia","Phyllomacromia","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Phyllomacromia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"126","Macromia","Macromia","genus","Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Macromia",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
"127","Zyxomma","Zyxomma","genus","Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Zyxomma",NA,NA,"!Carle et al. 2015 Anisoptera - Jessica Ware.pdf",NA,NA
