"","Order","Suborders","Superfamily","Family","OTOL node ID","GenbankTaxonID","GenBank ""Taxonomy""  value (# species in genbank taxonomy)","GenBank ""sp."" (# sp. listed in genbank taxonomy)","GenBank ""spp.""","CoL (or other) number of Species descibed (not # estimated to be known to taxonomists)","% of species in NCBI sequenced","X12","X13","X14","X15","taxon"
"464","Hexapoda: Diptera","Brachycera: Eremoneura","Empidoidea","Hybotidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Hybotidae"
"465","Hexapoda: Diptera","Brachycera: Eremoneura","Phoroidea","Ironomyiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Ironomyiidae"
"466","Hexapoda: Diptera","Brachycera: Eremoneura","Platypezoidea","Lonchopteridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Lonchopteridae"
"467","Hexapoda: Diptera","Brachycera: Eremoneura","Platypezoidea","Opetiidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Opetiidae"
"468","Hexapoda: Diptera","Brachycera: Eremoneura","Empidoidea","Oreogetonidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Oreogetonidae"
"469","Hexapoda: Diptera","Brachycera: Eremoneura","Phoroidea","Phoridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Phoridae"
"470","Hexapoda: Diptera","Brachycera: Eremoneura","Syrphoidea","Pipunculidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Pipunculidae"
"471","Hexapoda: Diptera","Brachycera: Eremoneura","Platypezoidea","Platypezidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Platypezidae"
"472","Hexapoda: Diptera","Brachycera: Bibionomorpha","Sciaroidea","Lygistorrhinidae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Lygistorrhinidae"
"473","Hexapoda: Diptera","Brachycera: Asilomorpha","Nemestrinoidea","Acroceridae",NA,NA,NA,NA,NA,NA,"#DIV/0!",NA,NA,NA,NA,"Acroceridae"
